IBD_DN,IBD_UP
PDE8A,LINC01356
DOLPP1,PPFIA1
ARL6IP4,GPR139
HLTF,MST1R
KLRC3,DUSP1
SPNS3,Mar-01
SERPINB6,GPR65
QTRT1,ZFAND5
VPS28,ANKRD22
TMEM154,P2RY13
BRINP3,PICALM
ARHGAP31,FEZ2
PRMT1,MPDU1
CD3E,NCOA4
NDUFB11,CAPN6
SLC25A5,LMNB1
GEMIN2,ZNRF2
EPB41,DOCK4
MRPL27,COL26A1
LRPPRC,CITED1
PRKCQ,CRBN
ZNF550,TTC24
DMRT2,CLDN10
SNORA70F,TMEM45B
PRKCG,NEUROD2
PKP2,H1F0
SNX11,MYOG
TIMM44,PRG2
PHB2,CPD
CBX8,MAFB
ZC3H8,C12orf4
SPATA17,CTDP1
THNSL1,SLC25A44
IFNA16,LINC00474
TOP1MT,SYNGR2
LOC100130916,MOP-1
FPGS,ZNF219
DNAJC10,PTGER1
C15orf54,FAM171B
TSEN2,INHBA
PTGDR2,C11orf86
CSF1R,MIR139
TOMM40,SIPA1L1
SNORD46,SLC12A9
ATG14,LINC00176
RRS1,ALPK1
SPEF2,HTR6
PARP15,RBBP8NL
GUSB,HEBP2
MCCC1,MUC1
USP11,GRIN3B
YPEL1,FAM221A
RBM28,KIF26A
SND1,KCNG2
RNMTL1,FAM105A
LINC00299,RPRML
CD200R1,LILRP2
STMN1,DCTN6
FBP1,CDYL2
NOP16,ANKRD34B
GTPBP6,CBX4
XAB2,LRRC4B
NF2,SCARF1
SNORA76A,TMEM63B
OLFML1,MTHFD2
KNOP1,KLHL2
SPATA5,TBC1D14
TBC1D19,LOC642648
SPRED1,FLNC
USP26,MAPK1IP1L
IL16,DRAM1
HMGXB3,KISS1
CKAP5,KLHL12
CD200R1L,EGR3
RNF113A,TCF24
ASB6,PDCD1
PAQR7,MAP1LC3B
NUP160,ADAM19
C5orf63,HPCA
GPI,VAMP5
DTHD1,FCN2
IFT172,DAPK2
STRIP1,RCVRN
TGFBI,UBE2R2
AAMP,STAT1
SACM1L,HAPLN4
MDM1,TMEM125
ANKRD31,ZNF787
MRPL55,BEAN1
IVD,HYAL1
ITM2A,KANK3
C1orf141,SAT1
CD160,TBC1D2B
LRBA,RGL3
ECI2,SIX2
UNG,STXBP2
NUP107,GRM4
JADE1,CYYR1
SS18L2,LOC441268
ZNF566,PTGFRN
TMEM261,TESK1
DIMT1,ATP6V0D1
GPX8,TIFA
HMGB1,SCUBE1
MTMR7,CD70
DNAJC9,TDRD7
MARCKSL1,RHOBTB3
RPL4,KLK10
PRSS23,MCU
SKAP1,SNX13
QDPR,CPEB4
C9orf153,KCP
KIFAP3,RNF208
POP5,DACH1
CCDC65,SIX3
NDE1,EEF1A2
PKIG,PLEKHG2
HMGN1,GPC1
WDPCP,LCE3A
FAF1,PODXL2
WDR55,MTMR10
CD22,LINC01561
EBP,FGF17
RASGRP2,CTF1
DOCK9,CCDC27
TBX21,ZNF516
TMCO6,CCDC109B
MRPL3,PCDHA13
SYTL1,RAB31
RBM8A,CFL1
GPD1L,MCPH1
LOC102724208,KLF14
AGK,PBX3
HM13,ATP11C
BPNT1,TBC1D2
IL26,FAM13A
LYRM7,ARL8B
HFM1,KRTAP5-8
USP5,HAPLN3
PPIL2,DCTN3
C20orf197,ME2
GCNT4,KRT83
MFSD2A,FCER1G
C15orf41,BEST1
NDUFAB1,ARHGAP18
STT3A,LOC401357
SPATA18,TNFAIP8L3
RPL32,IDNK
