GOBP_MYELOID_LEUKOCYTE_ACTIVATION,GOBP_PHAGOCYTOSIS,GOBP_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION,GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_1_PRODUCTION,GOBP_MACROPHAGE_ACTIVATION,GOBP_MYELOID_LEUKOCYTE_MIGRATION,GOBP_POSITIVE_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS,GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_6_PRODUCTION,GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_8_PRODUCTION,GIMATS
DCSTAMP,ICAM5,,,,JAGN1,,,,
DYSF,TLR2,,,,IL17RC,,,,
PRAM1,TLR4,,,,GBF1,,,,
HAVCR2,TNF,,,,TNFRSF11A,,,,
CST7,C2,,,,MCU,,,,
CBL,C3,,,,CD9,,,,
VAMP8,C4B,,,,CD47,,,,
HYAL2,TYROBP,,,,CD74,,,,
SNX4,VAV1,,,,CD81,,,,
ADAM9,VAV2,,,,RIPOR2,,,,
SNAP23,RAB7A,,,,WDR1,,,,
CD84,ELMO3,,,,,,,,
SPHK1,SPG11,,,,,,,,
NMI,COLEC12,,,,,,,,
MFHAS1,CALR,,,,,,,,
VAMP3,DYSF,,,,,,,,
CD33,RAB34,,,,,,,,
CD74,PIP5K1A,,,,,,,,
GAB2,PLA2G6,,,,,,,,
PJA2,KIAA1109,,,,,,,,
,TMEM175,,,,,,,,
,BECN1,,,,,,,,
,MARCO,,,,,,,,
,SNX3,,,,,,,,
,SPHK1,,,,,,,,
,CD14,,,,,,,,
,ARHGAP12,,,,,,,,
,ATG5,,,,,,,,
,CD36,,,,,,,,
,SCARB1,,,,,,,,
,CD47,,,,,,,,
,RUBCN,,,,,,,,
,TM9SF4,,,,,,,,
,ELMO1,,,,,,,,
,CD302,,,,,,,,
,ARHGAP25,,,,,,,,
,CDC42,,,,,,,,
